province,key,pr,default,zh-Hans
Anhui,Anhui,1,Anhui,安徽
Anhui,Hefei,0,Hefei,合肥
Beijing,Beijing,0,Beijing,北京
Chongqing,Chongqing,0,Chongqing,重庆
Fujian,Fujian,1,Fujian,福建
Fujian,Fuzhou,0,Fuzhou,福州
Fujian,Xiamen,0,Xiamen,厦门
Gansu,Gansu,1,Gansu,甘肃
Gansu,Lanzhou,0,Lanzhou,兰州
Guangdong,Guangdong,1,Guangdong,广东
Guangdong,Foshan,0,Foshan,佛山
Guangdong,Guangzhou,0,Guangzhou,广州
Guangdong,Shantou,0,Shantou,汕头
Guangdong,Shenzhen,0,Shenzhen,深圳
Guangdong,Zhuhai,0,Zhuhai,珠海
Guangxi,Guangxi,1,Guangxi,广西
Guangxi,Nanning,0,Nanning,南宁
Guizhou,Guizhou,1,Guizhou,贵州
Guizhou,Guiyang,0,Guiyang,贵阳
Hainan,Hainan,1,Hainan,海南
Hebei,Hebei,1,Hebei,河北
Hebei,Shijiazhuang,0,Shijiazhuang,石家庄
Heilongjiang,Heilongjiang,1,Heilongjiang,黑龙江
Heilongjiang,Harbin,0,Harbin,哈尔滨
Henan,Henan,1,Henan,河南
Henan,Zhengzhou,0,Zhengzhou,郑州
Hubei,Hubei,1,Hubei,湖北
Hubei,Wuhan,0,Wuhan,武汉
Hunan,Hunan,1,Hunan,湖南
Hunan,Changsha,0,Changsha,长沙
Jiangsu,Jiangsu,1,Jiangsu,江苏
Jiangsu,Nanjing,0,Nanjing,南京
Jiangxi,Jiangxi,1,Jiangxi,江西
Jiangxi,Jingdezhen,0,Jingdezhen,景德镇
Jiangxi,Nanchang,0,Nanchang,南昌
Jilin,Jilin,1,Jilin,吉林
Liaoning,Liaoning,1,Liaoning,辽宁
Liaoning,Shenyang,0,Shenyang,沈阳
Neimenggu,Neimenggu,1,Inner Mongolia,内蒙古
Neimenggu,Hohhot,0,Hohhot,呼和浩特
Ningxia,Ningxia,1,Ningxia,宁夏
Qinghai,Qinghai,1,Qinghai,青海
Shaanxi,Shaanxi,1,Shaanxi,陕西
Shaanxi,Xian,0,Xi’an,西安
Shandong,Shandong,1,Shandong,山东
Shandong,Jinan,0,Jinan,济南
Shandong,Qingdao,0,Qingdao,青岛
Shanghai,Shanghai,0,Shanghai,上海
Shanxi,Shanxi,1,Shanxi,山西
Shanxi,Taiyuan,0,Taiyuan,太原
Sichuan,Sichuan,1,Sichuan,四川
Sichuan,Chengdu,0,Chengdu,成都
Tianjin,Tianjin,0,Tianjin,天津
Xinjiang,Xinjiang,1,Xinjiang,新疆
Xizang,Xizang,1,Tibet,西藏
Yunnan,Yunnan,1,Yunnan,云南
Yunnan,Dali,0,Dali,大理
Yunnan,Kunming,0,Kunming,昆明
Zhejiang,Zhejiang,1,Zhejiang,浙江
Zhejiang,Hangzhou,0,Hangzhou,杭州
Zhejiang,Jiaxing,0,Jiaxing,嘉兴
Zhejiang,Ningbo,0,Ningbo,宁波
Zhejiang,Taizhou,0,Taizhou,台州
