province,key,pr,default,zh-Hans
Arizona,Arizona,1,Arizona,亚利桑那州
Arizona,Mesa,0,Mesa,梅萨
California,California,1,California,加利福尼亚州
California,Los Angeles,0,Los Angeles,洛杉矶
Colorado,Colorado,1,Colorado,科罗拉多州
Colorado,Denver,0,Denver,丹佛
Illinois,Illinois,1,Illinois,伊利诺伊州
Illinois,Chicago,0,Chicago,芝加哥
Minnesota,Minnesota,1,Minnesota,明尼苏达州
Minnesota,Minneapolis,0,Minneapolis,明尼阿波利斯
Missouri,Missouri,1,Missouri,密苏里州
Missouri,St. Louis,0,St. Louis,圣路易斯
Nebraska,Nebraska,1,Nebraska,内布拉斯加州
Nebraska,Omaha,0,Omaha,奥马哈
New Hampshire,New Hampshire,1,New Hampshire,新罕布什尔州
New Hampshire,Hebron,0,Hebron,希伯伦
New Mexico,New Mexico,1,New Mexico,新墨西哥州
New Mexico,Santa Fe,0,Santa Fe,圣菲
New York,New York,1,New York,纽约州
New York,Buffalo,0,Buffalo,水牛城
New York,New York City,0,New York City,纽约市
New York,Rochester,0,Rochester,罗切斯特
North Carolina,North Carolina,1,North Carolina,北卡罗来纳州
North Carolina,Durham,0,Durham,达勒姆
Ohio,Ohio,1,Ohio,俄亥俄州
Ohio,Cincinnati,0,Cincinnati,辛辛那提
Pennsylvania,Pennsylvania,1,Pennsylvania,宾夕法尼亚州
Pennsylvania,Philadelphia,0,Philadelphia,費城
Texas,Texas,1,Texas,德克萨斯州
Texas,Austin,0,Austin,奥斯汀
Texas,Houston,0,Houston,休斯顿
Washington,Washington,1,Washington,华盛顿
Washington,Seattle,0,Seattle,西雅图
