key,pr,default,zh-Hans
Anhui,1,Anhui,安徽
Beijing,1,Beijing,北京
Chongqing,1,Chongqing,重庆
Fujian,1,Fujian,福建
Gansu,1,Gansu,甘肃
Guangdong,1,Guangdong,广东
Guangxi,1,Guangxi,广西
Guizhou,1,Guizhou,贵州
Hainan,1,Hainan,海南
Heilongjiang,1,Heilongjiang,黑龙江
Henan,1,Henan,河南
Hubei,1,Hubei,湖北
Hunan,1,Hunan,湖南
Jiangsu,1,Jiangsu,江苏
Jiangxi,1,Jiangxi,江西
Jilin,1,Jilin,吉林
Liaoning,1,Liaoning,辽宁
Neimenggu,1,Inner Mongolia,内蒙古
Ningxia,1,Ningxia,宁夏
Qinghai,1,Qinghai,青海
Shaanxi,1,Shaanxi,陕西
Shandong,1,Shandong,山东
Shanghai,1,Shanghai,上海
Shanxi,1,Shanxi,山西
Sichuan,1,Sichuan,四川
Tianjin,1,Tianjin,天津
Xinjiang,1,Xinjiang,新疆
Xizang,1,Tibet,西藏
Yunnan,1,Yunnan,云南
Zhejiang,1,Zhejiang,浙江
Changsha,,Changsha,长沙
Chengdu,,Chengdu,成都
Dali,,Dali,大理
Foshan,,Foshan,佛山
Fuzhou,,Fuzhou,福州
Guangzhou,,Guangzhou,广州
Guiyang,,Guiyang,贵阳
Hangzhou,,Hangzhou,杭州
Harbin,,Harbin,哈尔滨
Hebei,,Hebei,河北
Hefei,,Hefei,合肥
Hohhot,,Hohhot,呼和浩特
Jiaxing,,Jiaxing,嘉兴
Jinan,,Jinan,济南
Kunming,,Kunming,昆明
Lanzhou,,Lanzhou,兰州
Nanchang,,Nanchang,南昌
Nanjing,,Nanjing,南京
Ningbo,,Ningbo,宁波
Qingdao,,Qingdao,青岛
Shantou,,Shantou,汕头
Shenyang,,Shenyang,沈阳
Shenzhen,,Shenzhen,深圳
Shijiazhuang,,Shijiazhuang,石家庄
Taiyuan,,Taiyuan,太原
Taizhou,,Taizhou,台州
Wuhan,,Wuhan,武汉
Xiamen,,Xiamen,厦门
Xian,,Xi’an,西安
Zhengzhou,,Zhengzhou,郑州
Zhuhai,,Zhuhai,珠海
