key,continent,default,zh-Hans
ca,america,Canada,加拿大
cl,america,Chile,智利
mx,america,Mexico,墨西哥
us,america,United States,美国
am,asia,Armenia,亚美尼亚
cn,asia,China,中国
hk,asia,Hong Kong,香港
id,asia,Indonesia,印尼
jp,asia,Japan,日本
kr,asia,South Korea,韩国
th,asia,Thailand,泰国
tr,asia,Turkey,土耳其
tw,asia,Taiwan,台湾
vn,asia,Vietnam,越南
be,europe,Belgium,比利时
ch,europe,Switzerland,瑞士
cz,europe,Czechia,捷克
de,europe,Germany,德国
dk,europe,Denmark,丹麦
es,europe,Spain,西班牙
fi,europe,Finland,芬兰
fr,europe,France,法国
gr,europe,Greece,希腊
hu,europe,Hungary,匈牙利
it,europe,Italy,意大利
lt,europe,Lithuania,立陶宛
lu,europe,Luxembourg,卢森堡
nl,europe,Netherlands,荷兰
no,europe,Norway,挪威
pl,europe,Poland,波兰
ru,europe,Russia,俄罗斯
se,europe,Sweden,瑞典
si,europe,Slovenia,斯洛文尼亚
uk,europe,United Kingdom,英国
au,oceania,Australia,澳大利亚
